EmployeeID,Department,JobRole,Segment,SegmentLabel
66,Engineering,Senior Engineer,1,Early-Career Builder
67,Engineering,Senior Engineer,1,Early-Career Builder
68,Sales,Account Manager,3,High Performer / Flight Risk
69,Operations,Operations Associate,1,Early-Career Builder
70,Sales,Account Manager,3,High Performer / Flight Risk
71,Sales,Sales Manager,1,Early-Career Builder
72,Finance,Financial Analyst,2,Stable Core
73,Human Resources,HR Associate,0,Disengaged
74,Engineering,Senior Engineer,3,High Performer / Flight Risk
75,Sales,Sales Manager,1,Early-Career Builder
76,Finance,Financial Analyst,1,Early-Career Builder
77,Human Resources,HR Associate,1,Early-Career Builder
78,Sales,Account Manager,2,Stable Core
79,Customer Support,Support Team Lead,1,Early-Career Builder
80,Operations,Operations Manager,1,Early-Career Builder
81,Engineering,Engineering Manager,2,Stable Core
82,Sales,Account Manager,3,High Performer / Flight Risk
83,Human Resources,HR Associate,1,Early-Career Builder
84,Sales,Account Manager,2,Stable Core
85,Sales,Sales Executive,3,High Performer / Flight Risk
86,Customer Support,Support Associate,3,High Performer / Flight Risk
87,Operations,Operations Manager,0,Disengaged
88,Operations,Logistics Coordinator,1,Early-Career Builder
89,Sales,Account Manager,3,High Performer / Flight Risk
90,Sales,Sales Executive,0,Disengaged
91,Customer Support,Support Associate,0,Disengaged
92,Engineering,Engineering Manager,2,Stable Core
93,Sales,Account Manager,1,Early-Career Builder
94,Operations,Operations Associate,1,Early-Career Builder
95,Sales,Sales Executive,1,Early-Career Builder
96,Sales,Sales Executive,1,Early-Career Builder
97,Finance,Finance Manager,3,High Performer / Flight Risk
98,Sales,Sales Executive,1,Early-Career Builder
99,Sales,Sales Manager,1,Early-Career Builder
100,Sales,Account Manager,0,Disengaged
101,Sales,Sales Executive,0,Disengaged
102,Human Resources,HR Associate,1,Early-Career Builder
103,Operations,Operations Manager,3,High Performer / Flight Risk
104,Sales,Account Manager,1,Early-Career Builder
105,Engineering,QA Engineer,2,Stable Core
106,Marketing,Content Specialist,3,High Performer / Flight Risk
107,Finance,Financial Analyst,3,High Performer / Flight Risk
108,Sales,Account Manager,1,Early-Career Builder
109,Finance,Finance Manager,1,Early-Career Builder
110,Sales,Account Manager,0,Disengaged
111,Human Resources,Recruiter,3,High Performer / Flight Risk
112,Customer Support,Support Associate,3,High Performer / Flight Risk
113,Operations,Logistics Coordinator,0,Disengaged
114,Marketing,Marketing Manager,0,Disengaged
115,Operations,Operations Manager,1,Early-Career Builder
116,Engineering,QA Engineer,0,Disengaged
117,Human Resources,Recruiter,3,High Performer / Flight Risk
118,Sales,Account Manager,3,High Performer / Flight Risk
119,Operations,Operations Associate,1,Early-Career Builder
120,Sales,Account Manager,1,Early-Career Builder
121,Finance,Finance Manager,1,Early-Career Builder
122,Finance,Financial Analyst,1,Early-Career Builder
123,Marketing,Content Specialist,3,High Performer / Flight Risk
124,Sales,Sales Executive,1,Early-Career Builder
125,Human Resources,HR Manager,1,Early-Career Builder
126,Engineering,Engineering Manager,1,Early-Career Builder
127,Marketing,Marketing Associate,1,Early-Career Builder
128,Engineering,Software Engineer,1,Early-Career Builder
129,Engineering,QA Engineer,0,Disengaged
130,Engineering,QA Engineer,1,Early-Career Builder
131,Engineering,Engineering Manager,2,Stable Core
132,Finance,Financial Analyst,1,Early-Career Builder
133,Finance,Finance Manager,0,Disengaged
134,Finance,Finance Manager,1,Early-Career Builder
135,Marketing,Marketing Manager,3,High Performer / Flight Risk
136,Operations,Operations Manager,1,Early-Career Builder
137,Marketing,Marketing Associate,2,Stable Core
138,Sales,Sales Executive,1,Early-Career Builder
139,Human Resources,Recruiter,1,Early-Career Builder
140,Human Resources,HR Associate,1,Early-Career Builder
141,Sales,Account Manager,2,Stable Core
142,Sales,Sales Manager,3,High Performer / Flight Risk
143,Sales,Sales Executive,1,Early-Career Builder
144,Operations,Operations Associate,3,High Performer / Flight Risk
145,Finance,Finance Manager,0,Disengaged
146,Operations,Operations Associate,3,High Performer / Flight Risk
147,Sales,Sales Executive,1,Early-Career Builder
148,Engineering,Software Engineer,1,Early-Career Builder
149,Finance,Accountant,2,Stable Core
150,Engineering,QA Engineer,2,Stable Core
151,Sales,Account Manager,3,High Performer / Flight Risk
152,Sales,Sales Manager,3,High Performer / Flight Risk
153,Engineering,QA Engineer,3,High Performer / Flight Risk
154,Marketing,Marketing Manager,1,Early-Career Builder
155,Engineering,Senior Engineer,3,High Performer / Flight Risk
156,Engineering,Senior Engineer,2,Stable Core
157,Sales,Sales Manager,1,Early-Career Builder
158,Operations,Operations Associate,0,Disengaged
159,Engineering,Engineering Manager,2,Stable Core
160,Sales,Sales Manager,0,Disengaged
161,Engineering,QA Engineer,2,Stable Core
162,Operations,Logistics Coordinator,2,Stable Core
163,Sales,Sales Manager,2,Stable Core
164,Sales,Sales Executive,0,Disengaged
165,Marketing,Marketing Manager,3,High Performer / Flight Risk
166,Finance,Financial Analyst,3,High Performer / Flight Risk
167,Engineering,Engineering Manager,1,Early-Career Builder
168,Customer Support,Support Associate,0,Disengaged
169,Engineering,QA Engineer,2,Stable Core
170,Human Resources,HR Manager,3,High Performer / Flight Risk
171,Marketing,Marketing Manager,1,Early-Career Builder
172,Customer Support,Support Team Lead,1,Early-Career Builder
173,Sales,Sales Manager,0,Disengaged
174,Operations,Logistics Coordinator,1,Early-Career Builder
175,Finance,Finance Manager,3,High Performer / Flight Risk
176,Customer Support,Support Associate,3,High Performer / Flight Risk
177,Customer Support,Support Team Lead,1,Early-Career Builder
178,Customer Support,Support Team Lead,3,High Performer / Flight Risk
179,Human Resources,HR Manager,3,High Performer / Flight Risk
180,Customer Support,Support Associate,0,Disengaged
181,Engineering,Senior Engineer,0,Disengaged
182,Engineering,Software Engineer,1,Early-Career Builder
183,Marketing,Marketing Manager,3,High Performer / Flight Risk
184,Engineering,QA Engineer,2,Stable Core
185,Operations,Logistics Coordinator,0,Disengaged
186,Sales,Sales Manager,0,Disengaged
187,Human Resources,HR Associate,3,High Performer / Flight Risk
188,Engineering,Engineering Manager,2,Stable Core
189,Operations,Operations Manager,1,Early-Career Builder
190,Operations,Logistics Coordinator,2,Stable Core
191,Customer Support,Support Team Lead,2,Stable Core
192,Engineering,Senior Engineer,3,High Performer / Flight Risk
193,Customer Support,Support Associate,3,High Performer / Flight Risk
194,Sales,Account Manager,3,High Performer / Flight Risk
195,Engineering,Engineering Manager,2,Stable Core
196,Sales,Account Manager,1,Early-Career Builder
197,Customer Support,Support Associate,3,High Performer / Flight Risk
198,Customer Support,Support Associate,1,Early-Career Builder
199,Sales,Account Manager,3,High Performer / Flight Risk
200,Human Resources,HR Manager,1,Early-Career Builder
201,Human Resources,HR Associate,3,High Performer / Flight Risk
202,Operations,Operations Manager,1,Early-Career Builder
203,Engineering,Software Engineer,1,Early-Career Builder
204,Operations,Operations Associate,1,Early-Career Builder
205,Finance,Accountant,1,Early-Career Builder
206,Sales,Sales Manager,1,Early-Career Builder
207,Finance,Financial Analyst,1,Early-Career Builder
208,Customer Support,Support Associate,3,High Performer / Flight Risk
209,Customer Support,Support Associate,3,High Performer / Flight Risk
210,Engineering,QA Engineer,0,Disengaged
211,Engineering,Software Engineer,1,Early-Career Builder
212,Sales,Sales Executive,1,Early-Career Builder
213,Sales,Sales Manager,2,Stable Core
214,Engineering,QA Engineer,2,Stable Core
215,Engineering,Engineering Manager,2,Stable Core
216,Engineering,QA Engineer,0,Disengaged
217,Operations,Operations Manager,3,High Performer / Flight Risk
218,Sales,Account Manager,1,Early-Career Builder
219,Human Resources,HR Associate,3,High Performer / Flight Risk
220,Marketing,Marketing Manager,1,Early-Career Builder
221,Finance,Financial Analyst,3,High Performer / Flight Risk
222,Marketing,Content Specialist,1,Early-Career Builder
223,Engineering,Senior Engineer,0,Disengaged
224,Operations,Operations Associate,1,Early-Career Builder
225,Engineering,Software Engineer,3,High Performer / Flight Risk
226,Sales,Sales Manager,1,Early-Career Builder
227,Engineering,Software Engineer,2,Stable Core
228,Operations,Logistics Coordinator,3,High Performer / Flight Risk
229,Operations,Logistics Coordinator,3,High Performer / Flight Risk
230,Customer Support,Support Associate,1,Early-Career Builder
231,Operations,Operations Associate,0,Disengaged
232,Marketing,Marketing Manager,3,High Performer / Flight Risk
233,Engineering,Engineering Manager,2,Stable Core
234,Marketing,Marketing Associate,3,High Performer / Flight Risk
235,Operations,Operations Associate,1,Early-Career Builder
236,Engineering,Senior Engineer,0,Disengaged
237,Engineering,Senior Engineer,0,Disengaged
238,Customer Support,Support Associate,1,Early-Career Builder
239,Operations,Operations Manager,1,Early-Career Builder
240,Finance,Accountant,1,Early-Career Builder
241,Sales,Sales Executive,3,High Performer / Flight Risk
242,Sales,Sales Manager,3,High Performer / Flight Risk
243,Finance,Financial Analyst,3,High Performer / Flight Risk
244,Engineering,Engineering Manager,2,Stable Core
245,Operations,Operations Manager,3,High Performer / Flight Risk
246,Sales,Account Manager,0,Disengaged
247,Sales,Account Manager,2,Stable Core
248,Human Resources,HR Associate,0,Disengaged
249,Marketing,Content Specialist,0,Disengaged
250,Sales,Account Manager,3,High Performer / Flight Risk
251,Customer Support,Support Associate,2,Stable Core
252,Finance,Finance Manager,1,Early-Career Builder
253,Finance,Accountant,1,Early-Career Builder
254,Sales,Sales Executive,2,Stable Core
255,Sales,Account Manager,2,Stable Core
256,Marketing,Marketing Associate,2,Stable Core
257,Finance,Accountant,3,High Performer / Flight Risk
258,Customer Support,Support Team Lead,0,Disengaged
259,Sales,Account Manager,1,Early-Career Builder
260,Customer Support,Support Associate,1,Early-Career Builder
261,Sales,Account Manager,2,Stable Core
262,Sales,Sales Manager,1,Early-Career Builder
263,Sales,Account Manager,2,Stable Core
264,Customer Support,Support Associate,2,Stable Core
265,Customer Support,Support Team Lead,2,Stable Core
266,Finance,Finance Manager,2,Stable Core
267,Engineering,Senior Engineer,0,Disengaged
268,Marketing,Marketing Associate,1,Early-Career Builder
269,Customer Support,Support Associate,0,Disengaged
270,Customer Support,Support Team Lead,1,Early-Career Builder
271,Marketing,Content Specialist,3,High Performer / Flight Risk
272,Engineering,Software Engineer,3,High Performer / Flight Risk
273,Customer Support,Support Associate,2,Stable Core
274,Human Resources,HR Associate,3,High Performer / Flight Risk
275,Operations,Operations Associate,1,Early-Career Builder
276,Sales,Sales Manager,0,Disengaged
277,Engineering,Senior Engineer,3,High Performer / Flight Risk
278,Customer Support,Support Team Lead,0,Disengaged
279,Operations,Operations Manager,3,High Performer / Flight Risk
280,Finance,Accountant,3,High Performer / Flight Risk
281,Engineering,Engineering Manager,2,Stable Core
282,Finance,Financial Analyst,3,High Performer / Flight Risk
283,Sales,Sales Manager,1,Early-Career Builder
284,Marketing,Marketing Manager,3,High Performer / Flight Risk
285,Sales,Sales Executive,2,Stable Core
286,Human Resources,HR Manager,1,Early-Career Builder
287,Operations,Logistics Coordinator,2,Stable Core
288,Operations,Operations Associate,3,High Performer / Flight Risk
289,Operations,Operations Associate,1,Early-Career Builder
290,Engineering,Software Engineer,3,High Performer / Flight Risk
291,Sales,Sales Manager,3,High Performer / Flight Risk
292,Sales,Sales Manager,1,Early-Career Builder
293,Customer Support,Support Associate,1,Early-Career Builder
294,Finance,Accountant,0,Disengaged
295,Customer Support,Support Team Lead,1,Early-Career Builder
296,Human Resources,Recruiter,3,High Performer / Flight Risk
297,Customer Support,Support Team Lead,0,Disengaged
298,Customer Support,Support Team Lead,1,Early-Career Builder
299,Customer Support,Support Team Lead,1,Early-Career Builder
300,Finance,Financial Analyst,1,Early-Career Builder
301,Marketing,Content Specialist,2,Stable Core
302,Customer Support,Support Associate,1,Early-Career Builder
303,Customer Support,Support Associate,1,Early-Career Builder
304,Operations,Operations Associate,3,High Performer / Flight Risk
305,Engineering,Software Engineer,1,Early-Career Builder
306,Finance,Financial Analyst,1,Early-Career Builder
307,Sales,Account Manager,1,Early-Career Builder
308,Customer Support,Support Associate,3,High Performer / Flight Risk
309,Finance,Finance Manager,0,Disengaged
310,Marketing,Content Specialist,1,Early-Career Builder
311,Engineering,Senior Engineer,0,Disengaged
312,Engineering,QA Engineer,1,Early-Career Builder
313,Marketing,Content Specialist,1,Early-Career Builder
314,Operations,Logistics Coordinator,1,Early-Career Builder
315,Human Resources,HR Manager,1,Early-Career Builder
316,Operations,Operations Manager,0,Disengaged
317,Marketing,Content Specialist,1,Early-Career Builder
318,Operations,Logistics Coordinator,2,Stable Core
319,Finance,Accountant,1,Early-Career Builder
320,Engineering,Software Engineer,2,Stable Core
321,Customer Support,Support Associate,0,Disengaged
322,Human Resources,Recruiter,3,High Performer / Flight Risk
323,Engineering,Software Engineer,1,Early-Career Builder
324,Sales,Sales Executive,2,Stable Core
325,Engineering,Engineering Manager,2,Stable Core
326,Operations,Operations Manager,1,Early-Career Builder
327,Customer Support,Support Associate,3,High Performer / Flight Risk
328,Sales,Sales Manager,0,Disengaged
329,Engineering,Engineering Manager,2,Stable Core
330,Customer Support,Support Associate,0,Disengaged
331,Marketing,Marketing Associate,3,High Performer / Flight Risk
332,Customer Support,Support Team Lead,0,Disengaged
333,Sales,Account Manager,3,High Performer / Flight Risk
334,Sales,Sales Executive,1,Early-Career Builder
335,Human Resources,HR Manager,3,High Performer / Flight Risk
336,Finance,Financial Analyst,1,Early-Career Builder
337,Finance,Finance Manager,1,Early-Career Builder
338,Sales,Sales Executive,0,Disengaged
339,Marketing,Content Specialist,1,Early-Career Builder
340,Engineering,Senior Engineer,1,Early-Career Builder
341,Customer Support,Support Team Lead,1,Early-Career Builder
342,Sales,Account Manager,2,Stable Core
343,Engineering,Senior Engineer,1,Early-Career Builder
344,Customer Support,Support Team Lead,1,Early-Career Builder
345,Customer Support,Support Team Lead,1,Early-Career Builder
346,Customer Support,Support Team Lead,0,Disengaged
347,Operations,Operations Associate,1,Early-Career Builder
348,Customer Support,Support Team Lead,1,Early-Career Builder
349,Engineering,Software Engineer,0,Disengaged
350,Sales,Account Manager,1,Early-Career Builder
351,Sales,Sales Manager,0,Disengaged
352,Sales,Sales Executive,0,Disengaged
353,Engineering,Engineering Manager,1,Early-Career Builder
354,Marketing,Marketing Manager,1,Early-Career Builder
355,Marketing,Content Specialist,0,Disengaged
356,Customer Support,Support Team Lead,3,High Performer / Flight Risk
357,Sales,Sales Executive,3,High Performer / Flight Risk
358,Operations,Operations Associate,3,High Performer / Flight Risk
359,Marketing,Marketing Associate,1,Early-Career Builder
360,Customer Support,Support Associate,0,Disengaged
361,Finance,Accountant,2,Stable Core
362,Sales,Sales Manager,0,Disengaged
363,Operations,Operations Associate,1,Early-Career Builder
364,Engineering,Software Engineer,2,Stable Core
365,Sales,Sales Executive,1,Early-Career Builder
366,Engineering,Engineering Manager,0,Disengaged
367,Engineering,Engineering Manager,3,High Performer / Flight Risk
368,Customer Support,Support Team Lead,1,Early-Career Builder
369,Operations,Logistics Coordinator,2,Stable Core
370,Sales,Account Manager,3,High Performer / Flight Risk
371,Sales,Sales Executive,3,High Performer / Flight Risk
372,Finance,Financial Analyst,3,High Performer / Flight Risk
373,Finance,Accountant,1,Early-Career Builder
374,Sales,Sales Executive,1,Early-Career Builder
375,Human Resources,HR Associate,3,High Performer / Flight Risk
376,Operations,Logistics Coordinator,1,Early-Career Builder
377,Sales,Sales Manager,1,Early-Career Builder
378,Engineering,Software Engineer,3,High Performer / Flight Risk
379,Marketing,Content Specialist,1,Early-Career Builder
380,Finance,Finance Manager,1,Early-Career Builder
381,Engineering,Software Engineer,3,High Performer / Flight Risk
382,Engineering,QA Engineer,0,Disengaged
383,Human Resources,HR Associate,0,Disengaged
384,Sales,Sales Executive,1,Early-Career Builder
385,Sales,Sales Manager,3,High Performer / Flight Risk
386,Engineering,Software Engineer,2,Stable Core
387,Operations,Logistics Coordinator,2,Stable Core
388,Finance,Accountant,0,Disengaged
389,Sales,Sales Executive,1,Early-Career Builder
390,Customer Support,Support Associate,0,Disengaged
391,Finance,Finance Manager,1,Early-Career Builder
392,Customer Support,Support Team Lead,3,High Performer / Flight Risk
393,Engineering,Software Engineer,0,Disengaged
394,Sales,Account Manager,2,Stable Core
395,Customer Support,Support Associate,0,Disengaged
396,Sales,Account Manager,1,Early-Career Builder
397,Finance,Accountant,1,Early-Career Builder
398,Finance,Financial Analyst,1,Early-Career Builder
399,Human Resources,HR Manager,1,Early-Career Builder
400,Marketing,Marketing Associate,1,Early-Career Builder
401,Engineering,Engineering Manager,0,Disengaged
402,Operations,Operations Associate,1,Early-Career Builder
403,Human Resources,HR Associate,1,Early-Career Builder
404,Engineering,Senior Engineer,2,Stable Core
405,Engineering,QA Engineer,1,Early-Career Builder
406,Sales,Account Manager,1,Early-Career Builder
407,Customer Support,Support Team Lead,1,Early-Career Builder
408,Finance,Accountant,3,High Performer / Flight Risk
409,Customer Support,Support Associate,1,Early-Career Builder
410,Engineering,Senior Engineer,1,Early-Career Builder
411,Sales,Sales Executive,2,Stable Core
412,Customer Support,Support Team Lead,0,Disengaged
413,Engineering,Engineering Manager,2,Stable Core
414,Customer Support,Support Associate,3,High Performer / Flight Risk
415,Operations,Operations Associate,1,Early-Career Builder
416,Customer Support,Support Team Lead,3,High Performer / Flight Risk
417,Sales,Sales Executive,1,Early-Career Builder
418,Engineering,QA Engineer,1,Early-Career Builder
419,Operations,Logistics Coordinator,0,Disengaged
420,Operations,Operations Associate,3,High Performer / Flight Risk
421,Sales,Sales Manager,3,High Performer / Flight Risk
422,Customer Support,Support Associate,1,Early-Career Builder
423,Customer Support,Support Associate,3,High Performer / Flight Risk
424,Sales,Account Manager,1,Early-Career Builder
425,Finance,Finance Manager,0,Disengaged
426,Operations,Operations Manager,1,Early-Career Builder
427,Customer Support,Support Associate,3,High Performer / Flight Risk
428,Customer Support,Support Team Lead,0,Disengaged
429,Sales,Sales Manager,3,High Performer / Flight Risk
430,Customer Support,Support Associate,2,Stable Core
431,Marketing,Marketing Manager,1,Early-Career Builder
432,Sales,Account Manager,3,High Performer / Flight Risk
433,Sales,Sales Manager,1,Early-Career Builder
434,Engineering,Software Engineer,1,Early-Career Builder
435,Customer Support,Support Associate,1,Early-Career Builder
436,Operations,Logistics Coordinator,0,Disengaged
437,Finance,Finance Manager,2,Stable Core
438,Sales,Sales Executive,1,Early-Career Builder
439,Operations,Logistics Coordinator,2,Stable Core
440,Operations,Operations Associate,0,Disengaged
441,Marketing,Content Specialist,2,Stable Core
442,Sales,Sales Manager,3,High Performer / Flight Risk
443,Sales,Sales Executive,1,Early-Career Builder
444,Engineering,Senior Engineer,1,Early-Career Builder
445,Customer Support,Support Team Lead,3,High Performer / Flight Risk
446,Sales,Sales Manager,1,Early-Career Builder
447,Engineering,Engineering Manager,0,Disengaged
448,Marketing,Content Specialist,3,High Performer / Flight Risk
449,Finance,Financial Analyst,3,High Performer / Flight Risk
450,Human Resources,HR Manager,1,Early-Career Builder
451,Customer Support,Support Associate,0,Disengaged
452,Marketing,Content Specialist,0,Disengaged
453,Sales,Sales Executive,1,Early-Career Builder
454,Operations,Operations Manager,0,Disengaged
455,Engineering,QA Engineer,0,Disengaged
456,Marketing,Marketing Associate,1,Early-Career Builder
457,Engineering,Engineering Manager,2,Stable Core
458,Engineering,QA Engineer,2,Stable Core
459,Engineering,Senior Engineer,1,Early-Career Builder
460,Finance,Financial Analyst,1,Early-Career Builder
461,Operations,Logistics Coordinator,3,High Performer / Flight Risk
462,Customer Support,Support Team Lead,1,Early-Career Builder
463,Engineering,QA Engineer,1,Early-Career Builder
464,Finance,Financial Analyst,2,Stable Core
465,Sales,Account Manager,2,Stable Core
466,Operations,Operations Manager,1,Early-Career Builder
467,Human Resources,HR Associate,1,Early-Career Builder
468,Operations,Operations Manager,3,High Performer / Flight Risk
469,Operations,Logistics Coordinator,1,Early-Career Builder
470,Human Resources,HR Associate,3,High Performer / Flight Risk
471,Engineering,Engineering Manager,0,Disengaged
472,Engineering,QA Engineer,2,Stable Core
473,Sales,Account Manager,1,Early-Career Builder
474,Customer Support,Support Team Lead,1,Early-Career Builder
475,Customer Support,Support Team Lead,0,Disengaged
476,Finance,Accountant,0,Disengaged
477,Finance,Accountant,3,High Performer / Flight Risk
478,Operations,Operations Associate,0,Disengaged
479,Operations,Operations Associate,0,Disengaged
480,Sales,Account Manager,2,Stable Core
481,Sales,Sales Manager,2,Stable Core
482,Marketing,Marketing Associate,1,Early-Career Builder
483,Sales,Sales Executive,3,High Performer / Flight Risk
484,Engineering,Engineering Manager,2,Stable Core
485,Marketing,Marketing Manager,3,High Performer / Flight Risk
486,Engineering,Software Engineer,0,Disengaged
487,Engineering,Software Engineer,2,Stable Core
488,Sales,Sales Manager,1,Early-Career Builder
489,Operations,Operations Associate,3,High Performer / Flight Risk
490,Customer Support,Support Team Lead,1,Early-Career Builder
491,Customer Support,Support Team Lead,0,Disengaged
492,Engineering,Engineering Manager,3,High Performer / Flight Risk
493,Human Resources,Recruiter,3,High Performer / Flight Risk
494,Customer Support,Support Team Lead,3,High Performer / Flight Risk
495,Operations,Operations Associate,3,High Performer / Flight Risk
496,Engineering,Software Engineer,1,Early-Career Builder
497,Sales,Account Manager,1,Early-Career Builder
498,Engineering,QA Engineer,2,Stable Core
499,Engineering,QA Engineer,3,High Performer / Flight Risk
500,Operations,Logistics Coordinator,0,Disengaged
501,Marketing,Content Specialist,0,Disengaged
502,Operations,Operations Associate,3,High Performer / Flight Risk
503,Engineering,Software Engineer,1,Early-Career Builder
504,Customer Support,Support Team Lead,3,High Performer / Flight Risk
505,Engineering,Software Engineer,1,Early-Career Builder
506,Engineering,Software Engineer,1,Early-Career Builder
507,Operations,Operations Associate,1,Early-Career Builder
508,Finance,Financial Analyst,3,High Performer / Flight Risk
509,Sales,Account Manager,0,Disengaged
510,Finance,Financial Analyst,1,Early-Career Builder
511,Sales,Sales Manager,1,Early-Career Builder
512,Customer Support,Support Team Lead,1,Early-Career Builder
513,Marketing,Marketing Associate,2,Stable Core
514,Finance,Finance Manager,1,Early-Career Builder
515,Sales,Account Manager,0,Disengaged
516,Engineering,Engineering Manager,1,Early-Career Builder
517,Human Resources,HR Associate,0,Disengaged
518,Marketing,Marketing Manager,3,High Performer / Flight Risk
519,Sales,Sales Executive,1,Early-Career Builder
520,Marketing,Content Specialist,2,Stable Core
521,Engineering,Senior Engineer,3,High Performer / Flight Risk
522,Engineering,Engineering Manager,2,Stable Core
523,Sales,Sales Manager,1,Early-Career Builder
524,Finance,Financial Analyst,1,Early-Career Builder
525,Sales,Sales Executive,3,High Performer / Flight Risk
526,Engineering,Software Engineer,3,High Performer / Flight Risk
527,Operations,Logistics Coordinator,3,High Performer / Flight Risk
528,Sales,Sales Manager,1,Early-Career Builder
529,Engineering,Software Engineer,3,High Performer / Flight Risk
530,Customer Support,Support Team Lead,1,Early-Career Builder
531,Human Resources,HR Manager,0,Disengaged
532,Sales,Account Manager,1,Early-Career Builder
533,Operations,Operations Associate,1,Early-Career Builder
534,Finance,Finance Manager,1,Early-Career Builder
535,Engineering,Software Engineer,1,Early-Career Builder
536,Human Resources,HR Associate,2,Stable Core
537,Customer Support,Support Team Lead,0,Disengaged
538,Human Resources,HR Associate,3,High Performer / Flight Risk
539,Engineering,QA Engineer,2,Stable Core
540,Sales,Sales Executive,1,Early-Career Builder
541,Engineering,Senior Engineer,1,Early-Career Builder
542,Engineering,Engineering Manager,2,Stable Core
543,Sales,Account Manager,3,High Performer / Flight Risk
544,Human Resources,HR Manager,1,Early-Career Builder
545,Marketing,Marketing Associate,1,Early-Career Builder
546,Engineering,QA Engineer,2,Stable Core
547,Engineering,Senior Engineer,2,Stable Core
548,Sales,Account Manager,3,High Performer / Flight Risk
549,Customer Support,Support Associate,0,Disengaged
550,Sales,Sales Executive,3,High Performer / Flight Risk
551,Sales,Sales Executive,3,High Performer / Flight Risk
552,Finance,Financial Analyst,1,Early-Career Builder
553,Engineering,Engineering Manager,2,Stable Core
554,Operations,Logistics Coordinator,0,Disengaged
555,Sales,Sales Executive,1,Early-Career Builder
556,Sales,Sales Executive,3,High Performer / Flight Risk
557,Customer Support,Support Associate,3,High Performer / Flight Risk
558,Finance,Accountant,1,Early-Career Builder
559,Marketing,Content Specialist,2,Stable Core
560,Operations,Operations Manager,3,High Performer / Flight Risk
561,Sales,Sales Executive,2,Stable Core
562,Sales,Sales Manager,1,Early-Career Builder
563,Customer Support,Support Associate,1,Early-Career Builder
564,Sales,Sales Manager,0,Disengaged
565,Operations,Operations Manager,3,High Performer / Flight Risk
566,Human Resources,Recruiter,0,Disengaged
567,Operations,Logistics Coordinator,0,Disengaged
