EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,HireDate,TenureYears,BusinessTravel,DistanceFromHomeKM,MonthlyIncome,YearsSinceLastPromotion,NumCompaniesWorked,WorkLifeBalance,EnvironmentSatisfaction,JobSatisfaction,OverTime,PerformanceRating,TrainingTimesLastYear,Attrition
29,48,Female,Married,Customer Support,Support Associate,Bachelor's,2020-11-25,5,Travel_Rarely,1,38808,0,0,1,4,3,No,3,4,No
30,32,Male,Divorced,Operations,Operations Manager,Bachelor's,2015-08-19,10,Travel_Rarely,1,65919,3,2,2,3,4,No,4,5,No
31,32,Male,Single,Marketing,Marketing Associate,Bachelor's,2022-09-21,3,Travel_Rarely,10,44765,2,2,3,3,4,No,4,2,No
32,48,Male,Married,Sales,Sales Executive,Bachelor's,2025-05-19,0,Travel_Rarely,5,44525,0,0,3,3,4,No,4,2,No
33,36,Female,Single,Engineering,QA Engineer,Bachelor's,2023-09-14,2,Travel_Frequently,12,97456,0,3,1,2,4,No,2,1,Yes
34,30,Male,Single,Engineering,QA Engineer,Master's,2022-08-07,3,Travel_Rarely,7,109200,3,4,1,4,2,No,3,0,Yes
35,25,Male,Married,Finance,Finance Manager,Master's,2020-07-09,5,Non-Travel,2,92053,0,3,3,3,3,No,4,2,No
36,56,Female,Single,Finance,Financial Analyst,Bachelor's,2024-11-08,1,Travel_Rarely,4,48440,0,1,3,1,2,No,3,2,Yes
37,31,Male,Married,Human Resources,HR Manager,High School,2021-05-24,4,Travel_Rarely,15,59893,0,5,4,3,1,No,3,3,No
38,26,Male,Married,Customer Support,Support Team Lead,Master's,2023-09-10,2,Travel_Rarely,1,42473,0,6,1,3,3,No,2,1,Yes
39,47,Female,Married,Human Resources,HR Manager,Bachelor's,2025-07-13,0,Travel_Rarely,3,51084,0,2,4,1,4,No,5,5,No
40,33,Male,Married,Sales,Account Manager,Bachelor's,2018-01-03,7,Travel_Rarely,3,98563,2,1,1,1,4,Yes,2,5,Yes
41,40,Female,Married,Operations,Logistics Coordinator,Master's,2021-06-18,4,Travel_Rarely,1,68986,2,0,3,4,3,No,3,1,No
42,32,Male,Single,Finance,Finance Manager,Bachelor's,2018-09-22,7,Non-Travel,1,86429,2,0,3,3,4,No,4,3,No
43,30,Male,Single,Sales,Account Manager,High School,2015-11-25,10,Non-Travel,5,86164,1,1,2,3,3,No,1,3,No
44,39,Male,Married,Sales,Account Manager,PhD,2024-01-24,1,Non-Travel,7,75424,1,1,3,4,2,No,2,0,No
45,28,Male,Married,Sales,Sales Manager,Bachelor's,2025-11-16,0,Travel_Rarely,2,59136,0,4,3,4,1,No,4,2,No
46,33,Female,Single,Sales,Account Manager,Bachelor's,2021-04-16,4,Non-Travel,9,79167,4,0,4,4,1,No,3,6,No
47,37,Female,Married,Engineering,QA Engineer,High School,2018-01-23,7,Non-Travel,17,134193,7,2,4,2,4,Yes,3,2,No
48,29,Female,Single,Sales,Sales Manager,High School,2021-01-23,4,Non-Travel,4,60880,0,2,4,4,2,No,4,1,Yes
49,29,Male,Single,Operations,Operations Manager,Master's,2020-12-26,5,Travel_Rarely,2,55629,0,1,4,2,4,No,4,3,No
50,35,Male,Married,Operations,Logistics Coordinator,Master's,2024-04-20,1,Non-Travel,16,61302,1,1,2,1,2,No,3,0,No
51,35,Male,Married,Engineering,Engineering Manager,Bachelor's,2019-08-03,6,Non-Travel,6,156694,0,1,3,3,3,No,3,4,No
52,39,Male,Married,Operations,Logistics Coordinator,High School,2023-10-07,2,Non-Travel,5,58215,2,1,3,4,1,No,3,2,No
53,45,Female,Single,Finance,Accountant,Bachelor's,2025-04-15,0,Travel_Frequently,23,62827,0,4,3,3,4,No,2,1,No
54,46,Male,Divorced,Customer Support,Support Associate,Master's,2025-11-08,0,Travel_Rarely,1,28344,0,2,3,2,3,Yes,4,2,No
55,35,Male,Married,Marketing,Marketing Manager,Bachelor's,2023-09-08,2,Travel_Rarely,8,59255,2,1,3,3,4,Yes,4,3,No
56,37,Female,Married,Customer Support,Support Team Lead,Bachelor's,2017-09-13,8,Non-Travel,8,52484,4,0,3,3,3,Yes,3,3,No
57,39,Male,Married,Sales,Sales Executive,Bachelor's,2021-10-30,4,Travel_Rarely,6,41232,3,4,1,4,2,Yes,2,2,Yes
58,40,Female,Married,Customer Support,Support Associate,Master's,2025-05-30,0,Travel_Rarely,5,29459,0,0,3,4,2,No,5,0,No
59,33,Female,Single,Customer Support,Support Associate,Bachelor's,2024-12-07,1,Travel_Frequently,9,32862,1,2,3,2,4,No,2,6,No
60,26,Male,Single,Finance,Accountant,Master's,2019-03-30,6,Travel_Rarely,1,66178,1,2,2,3,2,Yes,4,3,No
61,21,Female,Married,Customer Support,Support Team Lead,Master's,2024-11-20,1,Travel_Frequently,1,45068,0,0,3,4,2,No,2,2,No
62,33,Male,Married,Engineering,QA Engineer,Bachelor's,2022-08-20,3,Non-Travel,4,109873,2,1,3,2,3,Yes,5,3,No
63,35,Male,Single,Operations,Logistics Coordinator,Bachelor's,2022-12-08,3,Travel_Rarely,18,74892,0,2,4,3,4,Yes,4,2,Yes
64,37,Female,Married,Sales,Sales Executive,Bachelor's,2021-07-26,4,Non-Travel,1,48875,2,3,3,4,3,No,5,3,No
65,29,Female,Married,Engineering,Senior Engineer,High School,2023-08-26,2,Non-Travel,7,83705,2,1,2,1,3,No,5,2,Yes
66,39,Male,Married,Engineering,Senior Engineer,Master's,2023-12-22,2,Travel_Frequently,2,77617,2,5,4,2,4,No,4,0,No
67,21,Female,Divorced,Engineering,Senior Engineer,Bachelor's,2024-02-06,1,Travel_Frequently,1,74098,1,2,3,3,3,No,4,2,No
68,29,Female,Married,Sales,Account Manager,Bachelor's,2021-06-10,4,Non-Travel,15,78722,2,1,3,3,2,No,2,0,Yes
69,39,Female,Single,Operations,Operations Associate,Master's,2025-11-20,0,Non-Travel,12,32109,0,1,4,1,4,No,3,1,No
70,31,Female,Married,Sales,Account Manager,Bachelor's,2024-09-23,1,Travel_Rarely,4,62986,1,4,3,3,1,Yes,4,1,Yes
71,24,Male,Married,Sales,Sales Manager,High School,2025-07-26,0,Travel_Rarely,14,56215,0,0,3,2,3,No,3,2,No
72,35,Male,Married,Finance,Financial Analyst,Bachelor's,2014-08-26,11,Non-Travel,18,73169,2,3,3,2,4,No,4,0,No
73,33,Female,Single,Human Resources,HR Associate,Bachelor's,2025-08-07,0,Travel_Rarely,11,35263,0,1,2,1,4,No,3,0,No
74,27,Female,Married,Engineering,Senior Engineer,Master's,2025-03-16,0,Travel_Rarely,1,87920,0,3,3,4,2,No,3,3,Yes
75,24,Female,Married,Sales,Sales Manager,Bachelor's,2021-04-09,4,Travel_Rarely,14,68330,2,2,3,4,4,Yes,3,1,No
76,38,Female,Single,Finance,Financial Analyst,Bachelor's,2023-06-28,2,Non-Travel,1,50551,1,1,4,4,4,Yes,3,4,No
77,47,Male,Single,Human Resources,HR Associate,Master's,2018-02-23,7,Travel_Frequently,3,54208,0,1,4,4,3,No,4,3,No
78,44,Female,Married,Sales,Account Manager,High School,2017-05-26,8,Travel_Rarely,6,101471,3,2,1,1,3,No,4,3,No
79,29,Female,Married,Customer Support,Support Team Lead,Master's,2019-03-06,6,Travel_Rarely,8,52283,3,0,3,4,3,No,4,1,No
80,21,Female,Married,Operations,Operations Manager,Bachelor's,2024-10-25,1,Travel_Rarely,5,46696,1,2,3,2,4,No,5,0,Yes
81,26,Male,Married,Engineering,Engineering Manager,Bachelor's,2019-02-01,6,Non-Travel,1,136971,4,0,3,3,3,No,4,0,No
82,26,Male,Married,Sales,Account Manager,Bachelor's,2024-08-01,1,Travel_Frequently,2,64437,1,3,2,2,2,Yes,4,2,No
83,35,Female,Single,Human Resources,HR Associate,Bachelor's,2022-06-19,3,Travel_Rarely,1,43682,0,3,4,2,3,No,4,3,Yes
84,40,Male,Married,Sales,Account Manager,Master's,2017-10-02,8,Travel_Rarely,6,83385,0,1,4,3,3,No,2,1,No
85,48,Male,Married,Sales,Sales Executive,Master's,2019-11-17,6,Travel_Rarely,6,53885,0,3,3,3,1,No,4,5,No
86,43,Male,Divorced,Customer Support,Support Associate,PhD,2021-04-08,4,Travel_Rarely,1,34960,0,2,4,3,2,No,2,5,No
87,38,Female,Divorced,Operations,Operations Manager,Bachelor's,2019-06-27,6,Travel_Rarely,1,52050,2,4,2,1,4,Yes,3,0,No
88,38,Male,Single,Operations,Logistics Coordinator,Master's,2024-06-25,1,Travel_Rarely,1,56561,1,3,4,3,4,Yes,3,2,Yes
89,29,Female,Married,Sales,Account Manager,High School,2020-08-01,5,Travel_Frequently,13,81008,2,5,3,3,2,Yes,2,1,No
90,38,Female,Divorced,Sales,Sales Executive,High School,2024-05-25,1,Travel_Frequently,3,43460,1,1,2,4,3,No,3,1,No
91,41,Male,Single,Customer Support,Support Associate,Master's,2017-10-29,8,Travel_Frequently,4,43475,0,1,2,4,3,No,4,1,No
92,28,Male,Single,Engineering,Engineering Manager,Bachelor's,2022-01-07,3,Non-Travel,3,127378,0,2,3,2,3,Yes,3,1,Yes
93,30,Female,Single,Sales,Account Manager,Bachelor's,2023-05-03,2,Travel_Frequently,4,77995,0,1,3,3,4,No,4,2,No
94,21,Male,Divorced,Operations,Operations Associate,Master's,2024-05-07,1,Travel_Rarely,15,33621,1,2,3,3,4,No,3,5,No
95,41,Female,Married,Sales,Sales Executive,Bachelor's,2020-07-31,5,Travel_Frequently,13,49102,2,2,3,4,4,Yes,3,1,No
96,31,Female,Single,Sales,Sales Executive,Bachelor's,2024-09-02,1,Travel_Rarely,6,40405,1,0,3,1,3,No,3,1,Yes
97,44,Female,Married,Finance,Finance Manager,High School,2024-08-29,1,Travel_Rarely,14,85167,1,1,2,4,2,No,3,1,No
98,22,Male,Single,Sales,Sales Executive,PhD,2024-09-02,1,Travel_Frequently,7,36475,0,1,3,3,4,No,3,1,No
99,25,Male,Single,Sales,Sales Manager,Bachelor's,2020-02-13,5,Travel_Rarely,7,68668,1,4,3,2,3,Yes,3,3,No
100,48,Female,Divorced,Sales,Account Manager,Bachelor's,2022-12-29,3,Travel_Frequently,1,78457,1,3,2,4,3,No,3,6,No
101,22,Female,Married,Sales,Sales Executive,Bachelor's,2024-10-31,1,Travel_Rarely,20,44805,0,4,2,3,4,Yes,3,1,Yes
102,40,Male,Married,Human Resources,HR Associate,Master's,2021-11-26,4,Travel_Rarely,17,38588,1,3,3,3,3,No,4,0,No
103,34,Male,Married,Operations,Operations Manager,High School,2019-08-12,6,Travel_Rarely,1,52152,4,1,2,2,1,No,4,2,No
104,22,Female,Single,Sales,Account Manager,Bachelor's,2023-10-21,2,Travel_Rarely,2,78394,2,2,4,2,3,Yes,3,1,No
105,38,Female,Married,Engineering,QA Engineer,High School,2020-06-02,5,Non-Travel,2,113139,2,1,3,2,4,No,4,5,No
106,49,Male,Single,Marketing,Content Specialist,Master's,2025-12-10,0,Non-Travel,1,65778,0,1,3,4,2,No,3,2,No
107,43,Male,Married,Finance,Financial Analyst,Master's,2018-12-18,7,Travel_Rarely,12,54046,3,0,3,4,2,No,5,0,No
108,49,Female,Married,Sales,Account Manager,Master's,2024-02-24,1,Non-Travel,9,72370,1,2,3,3,4,Yes,4,1,No
109,39,Female,Single,Finance,Finance Manager,Bachelor's,2023-07-01,2,Travel_Rarely,3,84131,0,2,3,2,3,No,3,5,No
110,40,Male,Married,Sales,Account Manager,Bachelor's,2021-07-29,4,Travel_Rarely,1,82269,0,1,2,2,3,No,3,2,No
111,43,Female,Single,Human Resources,Recruiter,High School,2022-07-28,3,Non-Travel,7,61848,1,0,4,3,2,No,4,0,No
112,29,Male,Single,Customer Support,Support Associate,Bachelor's,2023-12-31,2,Non-Travel,14,33025,2,3,4,3,2,No,4,0,No
113,27,Male,Married,Operations,Logistics Coordinator,PhD,2021-03-09,4,Non-Travel,5,72658,2,2,2,3,4,No,1,0,No
114,32,Male,Single,Marketing,Marketing Manager,Master's,2024-02-15,1,Non-Travel,4,67374,1,1,1,1,3,Yes,4,3,No
115,21,Male,Single,Operations,Operations Manager,Master's,2025-06-23,0,Travel_Frequently,6,45117,0,2,4,2,3,No,5,4,No
116,23,Male,Married,Engineering,QA Engineer,Master's,2025-02-12,0,Non-Travel,14,93986,0,3,2,4,3,No,3,1,No
117,41,Male,Married,Human Resources,Recruiter,Master's,2025-02-04,0,Travel_Rarely,4,58726,0,1,3,4,2,No,5,5,No
118,27,Female,Single,Sales,Account Manager,Bachelor's,2023-08-17,2,Travel_Frequently,8,74450,2,1,4,3,2,Yes,2,1,Yes
119,40,Male,Single,Operations,Operations Associate,Master's,2025-08-14,0,Non-Travel,11,31687,0,3,3,3,3,No,1,1,No
120,43,Male,Married,Sales,Account Manager,Bachelor's,2023-07-19,2,Travel_Frequently,1,74871,1,0,4,2,3,Yes,4,3,No
121,23,Male,Single,Finance,Finance Manager,Bachelor's,2025-09-11,0,Travel_Rarely,21,77686,0,3,3,1,3,No,2,1,No
122,36,Male,Divorced,Finance,Financial Analyst,Master's,2025-12-04,0,Non-Travel,4,44678,0,1,3,2,3,Yes,4,4,Yes
123,29,Male,Married,Marketing,Content Specialist,Bachelor's,2022-10-11,3,Travel_Rarely,3,69848,1,3,2,1,2,Yes,3,3,Yes
124,44,Female,Divorced,Sales,Sales Executive,Bachelor's,2025-10-26,0,Non-Travel,10,44558,0,2,3,3,4,Yes,4,5,No
125,29,Male,Single,Human Resources,HR Manager,Master's,2025-08-04,0,Travel_Rarely,1,48245,0,0,4,3,3,Yes,4,2,No
126,41,Female,Married,Engineering,Engineering Manager,Master's,2025-01-09,0,Non-Travel,3,121054,0,2,4,3,4,No,4,2,No
127,30,Female,Married,Marketing,Marketing Associate,Bachelor's,2023-08-17,2,Travel_Rarely,5,45025,0,1,3,1,3,No,2,6,No
128,40,Female,Single,Engineering,Software Engineer,Master's,2024-11-11,1,Travel_Rarely,12,53939,0,1,4,1,4,No,3,4,Yes
129,26,Male,Single,Engineering,QA Engineer,Bachelor's,2021-09-12,4,Travel_Rarely,10,119954,1,1,1,2,4,Yes,3,0,No
130,21,Male,Divorced,Engineering,QA Engineer,Bachelor's,2024-08-28,1,Travel_Rarely,6,90047,1,2,3,3,4,No,3,1,No
131,34,Female,Married,Engineering,Engineering Manager,Bachelor's,2025-03-26,0,Travel_Rarely,1,123389,0,1,3,3,3,No,3,0,No
132,48,Female,Single,Finance,Financial Analyst,Bachelor's,2023-09-07,2,Travel_Frequently,17,43804,1,3,4,3,3,No,2,1,No
133,33,Male,Single,Finance,Finance Manager,High School,2025-06-10,0,Travel_Rarely,10,70299,0,2,2,3,3,Yes,4,2,No
134,45,Male,Married,Finance,Finance Manager,Bachelor's,2021-06-07,4,Travel_Rarely,8,77597,0,2,4,4,3,No,3,3,No
135,40,Male,Single,Marketing,Marketing Manager,Bachelor's,2023-06-10,2,Travel_Rarely,4,53989,2,2,3,4,2,No,4,2,No
136,38,Male,Married,Operations,Operations Manager,Bachelor's,2021-06-12,4,Non-Travel,4,56292,3,1,3,4,3,No,2,6,No
137,35,Male,Single,Marketing,Marketing Associate,High School,2017-03-04,8,Travel_Frequently,9,49231,0,0,3,1,4,No,3,1,No
138,40,Female,Single,Sales,Sales Executive,Bachelor's,2024-06-05,1,Travel_Rarely,8,33222,1,6,4,2,4,No,2,2,No
139,24,Female,Divorced,Human Resources,Recruiter,Bachelor's,2021-06-02,4,Non-Travel,9,71082,0,1,3,3,4,No,5,4,No
140,35,Female,Divorced,Human Resources,HR Associate,Master's,2023-06-08,2,Travel_Rarely,1,39703,0,2,4,3,4,No,4,0,No
141,47,Female,Single,Sales,Account Manager,Bachelor's,2017-12-22,8,Travel_Rarely,1,82537,6,0,3,3,4,Yes,2,0,No
142,30,Male,Divorced,Sales,Sales Manager,Bachelor's,2024-11-14,1,Non-Travel,18,59983,0,2,3,1,2,No,3,3,Yes
143,48,Male,Married,Sales,Sales Executive,Bachelor's,2019-09-19,6,Travel_Frequently,17,52830,1,1,3,3,3,No,3,3,No
144,36,Female,Married,Operations,Operations Associate,Bachelor's,2023-10-18,2,Non-Travel,6,40253,0,1,2,2,2,No,3,3,No
145,31,Female,Married,Finance,Finance Manager,Bachelor's,2020-01-19,5,Non-Travel,1,93625,4,1,1,4,4,No,4,1,No
146,31,Male,Divorced,Operations,Operations Associate,Bachelor's,2014-02-09,11,Travel_Rarely,5,45669,1,4,4,2,1,Yes,3,4,Yes
147,27,Female,Married,Sales,Sales Executive,High School,2024-08-15,1,Non-Travel,1,43907,1,3,4,2,4,No,5,1,No
148,35,Male,Married,Engineering,Software Engineer,Bachelor's,2024-10-31,1,Travel_Rarely,1,64906,1,3,3,3,3,No,3,2,No
149,41,Male,Single,Finance,Accountant,Bachelor's,2015-06-09,10,Non-Travel,9,78843,0,3,1,1,4,No,3,1,No
150,45,Male,Single,Engineering,QA Engineer,Master's,2023-01-17,2,Non-Travel,1,121409,2,3,3,2,4,No,3,3,No
151,34,Male,Divorced,Sales,Account Manager,Master's,2025-05-20,0,Travel_Rarely,3,66604,0,0,4,4,2,No,3,2,No
152,28,Male,Married,Sales,Sales Manager,Bachelor's,2018-09-17,7,Non-Travel,22,58570,0,0,3,3,2,No,3,4,No
153,34,Male,Married,Engineering,QA Engineer,Bachelor's,2025-07-20,0,Non-Travel,3,94159,0,3,3,4,2,No,4,1,No
154,28,Female,Single,Marketing,Marketing Manager,High School,2024-04-28,1,Non-Travel,7,53407,0,2,4,4,3,No,3,0,No
155,21,Male,Divorced,Engineering,Senior Engineer,High School,2025-02-12,0,Non-Travel,1,80639,0,2,3,4,2,No,4,0,No
156,28,Male,Single,Engineering,Senior Engineer,Master's,2020-08-09,5,Travel_Rarely,17,96422,1,1,3,2,4,Yes,4,4,Yes
157,32,Female,Divorced,Sales,Sales Manager,Bachelor's,2025-08-05,0,Non-Travel,7,59557,0,2,4,2,3,Yes,3,2,No
158,24,Male,Married,Operations,Operations Associate,High School,2021-09-30,4,Travel_Rarely,1,37510,4,2,1,3,3,Yes,4,0,No
159,26,Male,Married,Engineering,Engineering Manager,Bachelor's,2022-05-02,3,Non-Travel,18,149067,1,1,3,4,4,Yes,3,2,No
160,29,Male,Single,Sales,Sales Manager,Bachelor's,2020-07-06,5,Travel_Rarely,6,66107,3,1,2,2,3,No,4,0,Yes
161,29,Female,Single,Engineering,QA Engineer,Master's,2016-01-12,9,Non-Travel,4,142903,0,4,2,4,3,No,3,0,No
162,42,Female,Single,Operations,Logistics Coordinator,Bachelor's,2009-03-20,16,Travel_Rarely,6,90165,5,4,4,1,4,No,3,2,No
163,29,Male,Married,Sales,Sales Manager,Master's,2016-06-21,9,Travel_Rarely,9,71845,1,1,4,2,4,Yes,4,2,No
164,26,Male,Single,Sales,Sales Executive,Master's,2019-07-27,6,Travel_Rarely,1,48863,0,3,2,3,4,Yes,4,3,Yes
165,37,Female,Married,Marketing,Marketing Manager,Master's,2025-11-27,0,Travel_Frequently,7,51885,0,3,2,4,1,No,3,1,No
166,32,Female,Married,Finance,Financial Analyst,Master's,2024-03-20,1,Travel_Rarely,3,46104,0,2,3,3,2,Yes,4,6,No
167,31,Female,Single,Engineering,Engineering Manager,PhD,2025-10-19,0,Non-Travel,1,113660,0,2,3,3,3,No,4,4,No
168,37,Female,Married,Customer Support,Support Associate,Master's,2020-07-13,5,Travel_Rarely,5,36068,0,2,2,2,4,No,4,2,Yes
169,33,Female,Divorced,Engineering,QA Engineer,Bachelor's,2021-05-17,4,Travel_Rarely,1,109610,4,0,4,4,4,No,3,6,No
170,36,Female,Married,Human Resources,HR Manager,Bachelor's,2023-06-02,2,Travel_Rarely,13,47738,0,0,3,2,2,No,4,2,No
171,29,Female,Single,Marketing,Marketing Manager,PhD,2019-12-27,6,Travel_Rarely,7,63667,1,2,3,2,4,Yes,2,4,Yes
172,45,Male,Single,Customer Support,Support Team Lead,High School,2025-07-30,0,Travel_Rarely,7,44479,0,1,3,3,4,No,3,2,No
173,44,Female,Divorced,Sales,Sales Manager,High School,2023-09-30,2,Non-Travel,12,60347,2,2,2,3,3,No,1,1,No
174,23,Female,Single,Operations,Logistics Coordinator,Bachelor's,2025-12-22,0,Travel_Rarely,6,58680,0,4,3,2,3,No,3,0,No
175,39,Male,Single,Finance,Finance Manager,Bachelor's,2025-09-01,0,Travel_Rarely,1,66942,0,2,3,4,2,No,2,0,No
176,49,Male,Single,Customer Support,Support Associate,High School,2025-02-09,0,Travel_Rarely,8,30430,0,0,2,2,2,No,3,4,Yes
177,26,Male,Single,Customer Support,Support Team Lead,Bachelor's,2025-11-07,0,Non-Travel,3,44468,0,1,4,3,4,No,3,1,No
178,29,Male,Single,Customer Support,Support Team Lead,Bachelor's,2024-10-18,1,Travel_Rarely,39,46248,1,1,3,4,2,No,3,5,Yes
179,29,Male,Single,Human Resources,HR Manager,PhD,2021-08-29,4,Travel_Rarely,4,63920,0,2,4,4,2,No,4,2,Yes
180,48,Female,Single,Customer Support,Support Associate,High School,2024-10-06,1,Travel_Rarely,6,35250,1,4,2,3,3,No,3,0,No
181,31,Male,Single,Engineering,Senior Engineer,Bachelor's,2025-04-18,0,Travel_Rarely,6,74898,0,3,1,4,3,No,4,5,No
182,28,Male,Single,Engineering,Software Engineer,Bachelor's,2022-12-13,3,Non-Travel,1,57550,0,2,3,3,4,No,1,2,No
183,27,Male,Divorced,Marketing,Marketing Manager,Bachelor's,2025-10-27,0,Non-Travel,1,53356,0,1,3,3,2,No,4,2,No
184,34,Female,Single,Engineering,QA Engineer,PhD,2017-05-24,8,Non-Travel,8,136461,0,2,3,4,2,No,3,3,No
185,37,Male,Married,Operations,Logistics Coordinator,High School,2021-12-03,4,Non-Travel,2,60941,0,5,2,3,4,No,3,3,No
186,29,Female,Married,Sales,Sales Manager,Master's,2025-11-09,0,Travel_Frequently,3,58447,0,3,1,4,3,No,3,2,Yes
187,32,Female,Single,Human Resources,HR Associate,Master's,2019-11-16,6,Travel_Rarely,8,36680,2,3,3,4,1,No,4,2,No
188,36,Male,Single,Engineering,Engineering Manager,High School,2009-05-06,16,Travel_Rarely,1,193893,0,0,3,1,3,No,3,3,No
189,26,Female,Married,Operations,Operations Manager,Master's,2023-08-26,2,Travel_Rarely,14,55704,0,0,3,3,3,No,2,2,No
190,39,Female,Single,Operations,Logistics Coordinator,Bachelor's,2015-09-28,10,Non-Travel,10,73141,3,1,2,4,2,No,2,6,Yes
191,33,Male,Divorced,Customer Support,Support Team Lead,Master's,2012-03-12,13,Travel_Rarely,15,66520,0,4,1,4,1,No,5,1,Yes
192,23,Female,Married,Engineering,Senior Engineer,Master's,2024-12-11,1,Travel_Rarely,14,90212,1,4,2,3,1,No,2,1,No
193,32,Male,Married,Customer Support,Support Associate,High School,2018-07-19,7,Travel_Rarely,1,41247,3,6,3,4,2,No,4,3,Yes
194,30,Female,Single,Sales,Account Manager,Bachelor's,2024-02-02,1,Non-Travel,3,68457,1,2,3,2,2,No,5,3,No
195,35,Female,Single,Engineering,Engineering Manager,Bachelor's,2019-07-29,6,Non-Travel,2,156258,0,3,4,2,3,No,3,0,No
196,40,Male,Single,Sales,Account Manager,Bachelor's,2022-06-14,3,Travel_Rarely,1,73406,0,1,3,2,3,No,3,3,No
197,36,Male,Married,Customer Support,Support Associate,Bachelor's,2024-11-18,1,Travel_Rarely,24,34533,1,2,2,3,2,No,5,3,No
198,32,Male,Married,Customer Support,Support Associate,Bachelor's,2023-07-03,2,Travel_Rarely,12,34636,2,3,3,3,3,No,3,2,No
199,30,Female,Single,Sales,Account Manager,PhD,2024-10-26,1,Travel_Rarely,18,70634,1,2,2,2,1,Yes,5,3,No
