EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,HireDate,TenureYears,BusinessTravel,DistanceFromHomeKM,MonthlyIncome,YearsSinceLastPromotion,NumCompaniesWorked,WorkLifeBalance,EnvironmentSatisfaction,JobSatisfaction,OverTime,PerformanceRating,TrainingTimesLastYear,Attrition,SegmentLabel,AttritionRiskScore,RiskCategory
11,36,Male,Single,Customer Support,Support Associate,Master's,2025-04-24,0,Non-Travel,6,31794,0,3,3,4,2,No,4,4,No,High Performer / Flight Risk,0.3379292372461209,Medium
12,38,Female,Married,Operations,Operations Manager,Bachelor's,2025-11-27,0,Travel_Rarely,17,40850,0,0,3,1,3,No,3,1,Yes,Early-Career Builder,,
13,21,Male,Single,Finance,Accountant,Bachelor's,2024-11-03,1,Non-Travel,6,62913,1,4,4,2,3,Yes,1,4,No,Early-Career Builder,0.4548482934628255,Medium
14,28,Male,Single,Human Resources,HR Associate,Master's,2024-04-05,1,Travel_Rarely,1,32953,0,1,2,3,4,Yes,1,3,No,Disengaged,0.4969560484044523,Medium
15,30,Female,Married,Sales,Sales Manager,Bachelor's,2024-04-27,1,Travel_Rarely,7,56747,1,6,4,4,3,No,4,1,Yes,Early-Career Builder,,
16,23,Male,Single,Marketing,Content Specialist,Master's,2025-04-13,0,Non-Travel,5,58430,0,1,3,4,3,No,3,2,No,Early-Career Builder,0.3551489788641669,Medium
17,46,Male,Married,Marketing,Content Specialist,Bachelor's,2020-01-07,5,Travel_Rarely,2,73810,0,0,4,4,3,No,4,2,No,Early-Career Builder,0.2366662079270371,Low
18,27,Male,Divorced,Sales,Sales Executive,Master's,2019-11-07,6,Travel_Frequently,1,50887,2,6,3,4,2,No,3,3,No,High Performer / Flight Risk,0.3443433300156411,Medium
19,32,Male,Single,Marketing,Marketing Manager,Master's,2024-07-19,1,Travel_Rarely,1,60487,1,0,2,2,3,No,4,2,No,Disengaged,0.3795341895052774,Medium
20,37,Male,Divorced,Sales,Sales Executive,Master's,2025-08-06,0,Non-Travel,9,37754,0,6,3,2,3,Yes,4,1,No,Early-Career Builder,0.3573154339949559,Medium
21,21,Male,Single,Engineering,Engineering Manager,High School,2024-05-27,1,Travel_Frequently,4,127973,1,1,4,3,2,No,4,4,Yes,High Performer / Flight Risk,,
22,43,Female,Divorced,Sales,Account Manager,Master's,2024-02-26,1,Travel_Frequently,6,68173,1,0,4,3,2,No,4,1,No,High Performer / Flight Risk,0.3609367120928407,Medium
23,29,Male,Single,Customer Support,Support Team Lead,Master's,2019-05-12,6,Non-Travel,1,56796,3,2,2,1,3,No,3,3,No,Disengaged,0.3405960697046113,Medium
24,44,Female,Single,Operations,Operations Associate,Bachelor's,2019-08-18,6,Travel_Rarely,31,34496,2,1,2,2,2,Yes,4,1,No,High Performer / Flight Risk,0.350641512545654,Medium
25,34,Male,Single,Customer Support,Support Associate,Bachelor's,2024-03-31,1,Non-Travel,1,33863,1,1,3,3,1,No,4,0,No,High Performer / Flight Risk,0.253599659556218,Low
26,32,Male,Married,Human Resources,HR Associate,Bachelor's,2013-03-05,12,Travel_Rarely,4,55328,4,2,3,3,2,Yes,3,0,No,Stable Core,0.2540041739424433,Low
27,21,Female,Married,Sales,Sales Manager,Master's,2024-12-08,1,Non-Travel,6,57088,1,2,2,3,3,No,3,3,No,Disengaged,0.362514957835714,Medium
28,28,Female,Married,Sales,Sales Manager,High School,2019-08-04,6,Travel_Rarely,32,65680,6,3,3,4,3,No,3,2,No,Stable Core,0.3054330224211626,Medium
29,48,Female,Married,Customer Support,Support Associate,Bachelor's,2020-11-25,5,Travel_Rarely,1,38808,0,0,1,4,3,No,3,4,No,Disengaged,0.4582537202797841,Medium
30,32,Male,Divorced,Operations,Operations Manager,Bachelor's,2015-08-19,10,Travel_Rarely,1,65919,3,2,2,3,4,No,4,5,No,Stable Core,0.1291795406220475,Low
31,32,Male,Single,Marketing,Marketing Associate,Bachelor's,2022-09-21,3,Travel_Rarely,10,44765,2,2,3,3,4,No,4,2,No,Early-Career Builder,0.3202231312438456,Medium
32,48,Male,Married,Sales,Sales Executive,Bachelor's,2025-05-19,0,Travel_Rarely,5,44525,0,0,3,3,4,No,4,2,No,Early-Career Builder,0.2339941297069672,Low
33,36,Female,Single,Engineering,QA Engineer,Bachelor's,2023-09-14,2,Travel_Frequently,12,97456,0,3,1,2,4,No,2,1,Yes,Disengaged,,
34,30,Male,Single,Engineering,QA Engineer,Master's,2022-08-07,3,Travel_Rarely,7,109200,3,4,1,4,2,No,3,0,Yes,Disengaged,,
35,25,Male,Married,Finance,Finance Manager,Master's,2020-07-09,5,Non-Travel,2,92053,0,3,3,3,3,No,4,2,No,Stable Core,0.2740604439910981,Low
36,56,Female,Single,Finance,Financial Analyst,Bachelor's,2024-11-08,1,Travel_Rarely,4,48440,0,1,3,1,2,No,3,2,Yes,High Performer / Flight Risk,,
37,31,Male,Married,Human Resources,HR Manager,High School,2021-05-24,4,Travel_Rarely,15,59893,0,5,4,3,1,No,3,3,No,High Performer / Flight Risk,0.4362361654911307,Medium
38,26,Male,Married,Customer Support,Support Team Lead,Master's,2023-09-10,2,Travel_Rarely,1,42473,0,6,1,3,3,No,2,1,Yes,Disengaged,,
39,47,Female,Married,Human Resources,HR Manager,Bachelor's,2025-07-13,0,Travel_Rarely,3,51084,0,2,4,1,4,No,5,5,No,Early-Career Builder,0.2707195989328994,Low
40,33,Male,Married,Sales,Account Manager,Bachelor's,2018-01-03,7,Travel_Rarely,3,98563,2,1,1,1,4,Yes,2,5,Yes,Disengaged,,
41,40,Female,Married,Operations,Logistics Coordinator,Master's,2021-06-18,4,Travel_Rarely,1,68986,2,0,3,4,3,No,3,1,No,Early-Career Builder,0.2931280116991796,Low
42,32,Male,Single,Finance,Finance Manager,Bachelor's,2018-09-22,7,Non-Travel,1,86429,2,0,3,3,4,No,4,3,No,Stable Core,0.1554722868357849,Low
43,30,Male,Single,Sales,Account Manager,High School,2015-11-25,10,Non-Travel,5,86164,1,1,2,3,3,No,1,3,No,Stable Core,0.1449678231959916,Low
44,39,Male,Married,Sales,Account Manager,PhD,2024-01-24,1,Non-Travel,7,75424,1,1,3,4,2,No,2,0,No,High Performer / Flight Risk,0.3973817696364197,Medium
45,28,Male,Married,Sales,Sales Manager,Bachelor's,2025-11-16,0,Travel_Rarely,2,59136,0,4,3,4,1,No,4,2,No,High Performer / Flight Risk,0.4562112001905574,Medium
46,33,Female,Single,Sales,Account Manager,Bachelor's,2021-04-16,4,Non-Travel,9,79167,4,0,4,4,1,No,3,6,No,High Performer / Flight Risk,0.4047909702256518,Medium
47,37,Female,Married,Engineering,QA Engineer,High School,2018-01-23,7,Non-Travel,17,134193,7,2,4,2,4,Yes,3,2,No,Stable Core,0.284494225633198,Low
48,29,Female,Single,Sales,Sales Manager,High School,2021-01-23,4,Non-Travel,4,60880,0,2,4,4,2,No,4,1,Yes,High Performer / Flight Risk,,
49,29,Male,Single,Operations,Operations Manager,Master's,2020-12-26,5,Travel_Rarely,2,55629,0,1,4,2,4,No,4,3,No,Early-Career Builder,0.400769570454389,Medium
50,35,Male,Married,Operations,Logistics Coordinator,Master's,2024-04-20,1,Non-Travel,16,61302,1,1,2,1,2,No,3,0,No,High Performer / Flight Risk,0.4296859412269747,Medium
51,35,Male,Married,Engineering,Engineering Manager,Bachelor's,2019-08-03,6,Non-Travel,6,156694,0,1,3,3,3,No,3,4,No,Stable Core,0.2292863603388413,Low
52,39,Male,Married,Operations,Logistics Coordinator,High School,2023-10-07,2,Non-Travel,5,58215,2,1,3,4,1,No,3,2,No,High Performer / Flight Risk,0.3905656004054764,Medium
53,45,Female,Single,Finance,Accountant,Bachelor's,2025-04-15,0,Travel_Frequently,23,62827,0,4,3,3,4,No,2,1,No,Early-Career Builder,0.2988148808500612,Low
54,46,Male,Divorced,Customer Support,Support Associate,Master's,2025-11-08,0,Travel_Rarely,1,28344,0,2,3,2,3,Yes,4,2,No,Early-Career Builder,0.4734535908313638,Medium
55,35,Male,Married,Marketing,Marketing Manager,Bachelor's,2023-09-08,2,Travel_Rarely,8,59255,2,1,3,3,4,Yes,4,3,No,Early-Career Builder,0.4634814211983152,Medium
56,37,Female,Married,Customer Support,Support Team Lead,Bachelor's,2017-09-13,8,Non-Travel,8,52484,4,0,3,3,3,Yes,3,3,No,Stable Core,0.2073541574836956,Low
57,39,Male,Married,Sales,Sales Executive,Bachelor's,2021-10-30,4,Travel_Rarely,6,41232,3,4,1,4,2,Yes,2,2,Yes,Disengaged,,
58,40,Female,Married,Customer Support,Support Associate,Master's,2025-05-30,0,Travel_Rarely,5,29459,0,0,3,4,2,No,5,0,No,High Performer / Flight Risk,0.347912699262995,Medium
59,33,Female,Single,Customer Support,Support Associate,Bachelor's,2024-12-07,1,Travel_Frequently,9,32862,1,2,3,2,4,No,2,6,No,Early-Career Builder,0.3349363156989222,Medium
60,26,Male,Single,Finance,Accountant,Master's,2019-03-30,6,Travel_Rarely,1,66178,1,2,2,3,2,Yes,4,3,No,High Performer / Flight Risk,0.3894829319343666,Medium
61,21,Female,Married,Customer Support,Support Team Lead,Master's,2024-11-20,1,Travel_Frequently,1,45068,0,0,3,4,2,No,2,2,No,High Performer / Flight Risk,0.3905665404233817,Medium
62,33,Male,Married,Engineering,QA Engineer,Bachelor's,2022-08-20,3,Non-Travel,4,109873,2,1,3,2,3,Yes,5,3,No,Stable Core,0.4590698398149467,Medium
63,35,Male,Single,Operations,Logistics Coordinator,Bachelor's,2022-12-08,3,Travel_Rarely,18,74892,0,2,4,3,4,Yes,4,2,Yes,Early-Career Builder,,
64,37,Female,Married,Sales,Sales Executive,Bachelor's,2021-07-26,4,Non-Travel,1,48875,2,3,3,4,3,No,5,3,No,Early-Career Builder,0.2839601008313144,Low
65,29,Female,Married,Engineering,Senior Engineer,High School,2023-08-26,2,Non-Travel,7,83705,2,1,2,1,3,No,5,2,Yes,Disengaged,,
66,39,Male,Married,Engineering,Senior Engineer,Master's,2023-12-22,2,Travel_Frequently,2,77617,2,5,4,2,4,No,4,0,No,Early-Career Builder,0.2827142297167418,Low
67,21,Female,Divorced,Engineering,Senior Engineer,Bachelor's,2024-02-06,1,Travel_Frequently,1,74098,1,2,3,3,3,No,4,2,No,Early-Career Builder,0.2334109465459484,Low
68,29,Female,Married,Sales,Account Manager,Bachelor's,2021-06-10,4,Non-Travel,15,78722,2,1,3,3,2,No,2,0,Yes,High Performer / Flight Risk,,
69,39,Female,Single,Operations,Operations Associate,Master's,2025-11-20,0,Non-Travel,12,32109,0,1,4,1,4,No,3,1,No,Early-Career Builder,0.3548915784704084,Medium
70,31,Female,Married,Sales,Account Manager,Bachelor's,2024-09-23,1,Travel_Rarely,4,62986,1,4,3,3,1,Yes,4,1,Yes,High Performer / Flight Risk,,
71,24,Male,Married,Sales,Sales Manager,High School,2025-07-26,0,Travel_Rarely,14,56215,0,0,3,2,3,No,3,2,No,Early-Career Builder,0.4058450312327896,Medium
72,35,Male,Married,Finance,Financial Analyst,Bachelor's,2014-08-26,11,Non-Travel,18,73169,2,3,3,2,4,No,4,0,No,Stable Core,0.1172218800623563,Low
73,33,Female,Single,Human Resources,HR Associate,Bachelor's,2025-08-07,0,Travel_Rarely,11,35263,0,1,2,1,4,No,3,0,No,Disengaged,0.3999740170477659,Medium
74,27,Female,Married,Engineering,Senior Engineer,Master's,2025-03-16,0,Travel_Rarely,1,87920,0,3,3,4,2,No,3,3,Yes,High Performer / Flight Risk,,
75,24,Female,Married,Sales,Sales Manager,Bachelor's,2021-04-09,4,Travel_Rarely,14,68330,2,2,3,4,4,Yes,3,1,No,Early-Career Builder,0.395674178920513,Medium
76,38,Female,Single,Finance,Financial Analyst,Bachelor's,2023-06-28,2,Non-Travel,1,50551,1,1,4,4,4,Yes,3,4,No,Early-Career Builder,0.4483749962653153,Medium
77,47,Male,Single,Human Resources,HR Associate,Master's,2018-02-23,7,Travel_Frequently,3,54208,0,1,4,4,3,No,4,3,No,Early-Career Builder,0.1464104031786956,Low
78,44,Female,Married,Sales,Account Manager,High School,2017-05-26,8,Travel_Rarely,6,101471,3,2,1,1,3,No,4,3,No,Stable Core,0.326689088372794,Medium
79,29,Female,Married,Customer Support,Support Team Lead,Master's,2019-03-06,6,Travel_Rarely,8,52283,3,0,3,4,3,No,4,1,No,Early-Career Builder,0.3955939778497354,Medium
80,21,Female,Married,Operations,Operations Manager,Bachelor's,2024-10-25,1,Travel_Rarely,5,46696,1,2,3,2,4,No,5,0,Yes,Early-Career Builder,,
81,26,Male,Married,Engineering,Engineering Manager,Bachelor's,2019-02-01,6,Non-Travel,1,136971,4,0,3,3,3,No,4,0,No,Stable Core,0.2555666471469299,Low
82,26,Male,Married,Sales,Account Manager,Bachelor's,2024-08-01,1,Travel_Frequently,2,64437,1,3,2,2,2,Yes,4,2,No,High Performer / Flight Risk,0.5585328059235075,Medium
83,35,Female,Single,Human Resources,HR Associate,Bachelor's,2022-06-19,3,Travel_Rarely,1,43682,0,3,4,2,3,No,4,3,Yes,Early-Career Builder,,
84,40,Male,Married,Sales,Account Manager,Master's,2017-10-02,8,Travel_Rarely,6,83385,0,1,4,3,3,No,2,1,No,Stable Core,0.1332411293327805,Low
85,48,Male,Married,Sales,Sales Executive,Master's,2019-11-17,6,Travel_Rarely,6,53885,0,3,3,3,1,No,4,5,No,High Performer / Flight Risk,0.2155937843005168,Low
86,43,Male,Divorced,Customer Support,Support Associate,PhD,2021-04-08,4,Travel_Rarely,1,34960,0,2,4,3,2,No,2,5,No,High Performer / Flight Risk,0.283584481765404,Low
87,38,Female,Divorced,Operations,Operations Manager,Bachelor's,2019-06-27,6,Travel_Rarely,1,52050,2,4,2,1,4,Yes,3,0,No,Disengaged,0.3746147279136385,Medium
88,38,Male,Single,Operations,Logistics Coordinator,Master's,2024-06-25,1,Travel_Rarely,1,56561,1,3,4,3,4,Yes,3,2,Yes,Early-Career Builder,,
89,29,Female,Married,Sales,Account Manager,High School,2020-08-01,5,Travel_Frequently,13,81008,2,5,3,3,2,Yes,2,1,No,High Performer / Flight Risk,0.4456459570068129,Medium
90,38,Female,Divorced,Sales,Sales Executive,High School,2024-05-25,1,Travel_Frequently,3,43460,1,1,2,4,3,No,3,1,No,Disengaged,0.2578702118629071,Low
91,41,Male,Single,Customer Support,Support Associate,Master's,2017-10-29,8,Travel_Frequently,4,43475,0,1,2,4,3,No,4,1,No,Disengaged,0.2264519445566802,Low
92,28,Male,Single,Engineering,Engineering Manager,Bachelor's,2022-01-07,3,Non-Travel,3,127378,0,2,3,2,3,Yes,3,1,Yes,Stable Core,,
93,30,Female,Single,Sales,Account Manager,Bachelor's,2023-05-03,2,Travel_Frequently,4,77995,0,1,3,3,4,No,4,2,No,Early-Career Builder,0.3302242764284989,Medium
94,21,Male,Divorced,Operations,Operations Associate,Master's,2024-05-07,1,Travel_Rarely,15,33621,1,2,3,3,4,No,3,5,No,Early-Career Builder,0.2021461706760028,Low
95,41,Female,Married,Sales,Sales Executive,Bachelor's,2020-07-31,5,Travel_Frequently,13,49102,2,2,3,4,4,Yes,3,1,No,Early-Career Builder,0.3272184215553358,Medium
96,31,Female,Single,Sales,Sales Executive,Bachelor's,2024-09-02,1,Travel_Rarely,6,40405,1,0,3,1,3,No,3,1,Yes,Early-Career Builder,,
97,44,Female,Married,Finance,Finance Manager,High School,2024-08-29,1,Travel_Rarely,14,85167,1,1,2,4,2,No,3,1,No,High Performer / Flight Risk,0.3730119259914991,Medium
98,22,Male,Single,Sales,Sales Executive,PhD,2024-09-02,1,Travel_Frequently,7,36475,0,1,3,3,4,No,3,1,No,Early-Career Builder,0.2939649596458292,Low
99,25,Male,Single,Sales,Sales Manager,Bachelor's,2020-02-13,5,Travel_Rarely,7,68668,1,4,3,2,3,Yes,3,3,No,Early-Career Builder,0.4564142658089489,Medium
100,48,Female,Divorced,Sales,Account Manager,Bachelor's,2022-12-29,3,Travel_Frequently,1,78457,1,3,2,4,3,No,3,6,No,Disengaged,0.1423220680373084,Low
101,22,Female,Married,Sales,Sales Executive,Bachelor's,2024-10-31,1,Travel_Rarely,20,44805,0,4,2,3,4,Yes,3,1,Yes,Disengaged,,
102,40,Male,Married,Human Resources,HR Associate,Master's,2021-11-26,4,Travel_Rarely,17,38588,1,3,3,3,3,No,4,0,No,Early-Career Builder,0.3560688094722393,Medium
103,34,Male,Married,Operations,Operations Manager,High School,2019-08-12,6,Travel_Rarely,1,52152,4,1,2,2,1,No,4,2,No,High Performer / Flight Risk,0.309450660222292,Medium
104,22,Female,Single,Sales,Account Manager,Bachelor's,2023-10-21,2,Travel_Rarely,2,78394,2,2,4,2,3,Yes,3,1,No,Early-Career Builder,0.43642868382983,Medium
105,38,Female,Married,Engineering,QA Engineer,High School,2020-06-02,5,Non-Travel,2,113139,2,1,3,2,4,No,4,5,No,Stable Core,0.278879176913715,Low
106,49,Male,Single,Marketing,Content Specialist,Master's,2025-12-10,0,Non-Travel,1,65778,0,1,3,4,2,No,3,2,No,High Performer / Flight Risk,0.3268977672946736,Medium
107,43,Male,Married,Finance,Financial Analyst,Master's,2018-12-18,7,Travel_Rarely,12,54046,3,0,3,4,2,No,5,0,No,High Performer / Flight Risk,0.2192900468283601,Low
108,49,Female,Married,Sales,Account Manager,Master's,2024-02-24,1,Non-Travel,9,72370,1,2,3,3,4,Yes,4,1,No,Early-Career Builder,0.198380307328442,Low
109,39,Female,Single,Finance,Finance Manager,Bachelor's,2023-07-01,2,Travel_Rarely,3,84131,0,2,3,2,3,No,3,5,No,Early-Career Builder,0.3426797351273012,Medium
110,40,Male,Married,Sales,Account Manager,Bachelor's,2021-07-29,4,Travel_Rarely,1,82269,0,1,2,2,3,No,3,2,No,Disengaged,0.2880653500793344,Low
111,43,Female,Single,Human Resources,Recruiter,High School,2022-07-28,3,Non-Travel,7,61848,1,0,4,3,2,No,4,0,No,High Performer / Flight Risk,0.43032618348121,Medium
112,29,Male,Single,Customer Support,Support Associate,Bachelor's,2023-12-31,2,Non-Travel,14,33025,2,3,4,3,2,No,4,0,No,High Performer / Flight Risk,0.2983915562677554,Low
113,27,Male,Married,Operations,Logistics Coordinator,PhD,2021-03-09,4,Non-Travel,5,72658,2,2,2,3,4,No,1,0,No,Disengaged,0.3352658367578713,Medium
114,32,Male,Single,Marketing,Marketing Manager,Master's,2024-02-15,1,Non-Travel,4,67374,1,1,1,1,3,Yes,4,3,No,Disengaged,0.5096787727039765,Medium
115,21,Male,Single,Operations,Operations Manager,Master's,2025-06-23,0,Travel_Frequently,6,45117,0,2,4,2,3,No,5,4,No,Early-Career Builder,0.3272194353271058,Medium
116,23,Male,Married,Engineering,QA Engineer,Master's,2025-02-12,0,Non-Travel,14,93986,0,3,2,4,3,No,3,1,No,Disengaged,0.2934447959054624,Low
117,41,Male,Married,Human Resources,Recruiter,Master's,2025-02-04,0,Travel_Rarely,4,58726,0,1,3,4,2,No,5,5,No,High Performer / Flight Risk,0.3324575963331788,Medium
118,27,Female,Single,Sales,Account Manager,Bachelor's,2023-08-17,2,Travel_Frequently,8,74450,2,1,4,3,2,Yes,2,1,Yes,High Performer / Flight Risk,,
119,40,Male,Single,Operations,Operations Associate,Master's,2025-08-14,0,Non-Travel,11,31687,0,3,3,3,3,No,1,1,No,Early-Career Builder,0.2447432343152209,Low
120,43,Male,Married,Sales,Account Manager,Bachelor's,2023-07-19,2,Travel_Frequently,1,74871,1,0,4,2,3,Yes,4,3,No,Early-Career Builder,0.3442065195269094,Medium
121,23,Male,Single,Finance,Finance Manager,Bachelor's,2025-09-11,0,Travel_Rarely,21,77686,0,3,3,1,3,No,2,1,No,Early-Career Builder,0.3650892991630478,Medium
122,36,Male,Divorced,Finance,Financial Analyst,Master's,2025-12-04,0,Non-Travel,4,44678,0,1,3,2,3,Yes,4,4,Yes,Early-Career Builder,,
123,29,Male,Married,Marketing,Content Specialist,Bachelor's,2022-10-11,3,Travel_Rarely,3,69848,1,3,2,1,2,Yes,3,3,Yes,High Performer / Flight Risk,,
124,44,Female,Divorced,Sales,Sales Executive,Bachelor's,2025-10-26,0,Non-Travel,10,44558,0,2,3,3,4,Yes,4,5,No,Early-Career Builder,0.2877806831872288,Low
125,29,Male,Single,Human Resources,HR Manager,Master's,2025-08-04,0,Travel_Rarely,1,48245,0,0,4,3,3,Yes,4,2,No,Early-Career Builder,0.5899803428496645,Medium
126,41,Female,Married,Engineering,Engineering Manager,Master's,2025-01-09,0,Non-Travel,3,121054,0,2,4,3,4,No,4,2,No,Early-Career Builder,0.2429013205855144,Low
127,30,Female,Married,Marketing,Marketing Associate,Bachelor's,2023-08-17,2,Travel_Rarely,5,45025,0,1,3,1,3,No,2,6,No,Early-Career Builder,0.4296627904880885,Medium
128,40,Female,Single,Engineering,Software Engineer,Master's,2024-11-11,1,Travel_Rarely,12,53939,0,1,4,1,4,No,3,4,Yes,Early-Career Builder,,
129,26,Male,Single,Engineering,QA Engineer,Bachelor's,2021-09-12,4,Travel_Rarely,10,119954,1,1,1,2,4,Yes,3,0,No,Disengaged,0.4436865416347815,Medium
130,21,Male,Divorced,Engineering,QA Engineer,Bachelor's,2024-08-28,1,Travel_Rarely,6,90047,1,2,3,3,4,No,3,1,No,Early-Career Builder,0.1808279189892232,Low
131,34,Female,Married,Engineering,Engineering Manager,Bachelor's,2025-03-26,0,Travel_Rarely,1,123389,0,1,3,3,3,No,3,0,No,Stable Core,0.2680875928644823,Low
132,48,Female,Single,Finance,Financial Analyst,Bachelor's,2023-09-07,2,Travel_Frequently,17,43804,1,3,4,3,3,No,2,1,No,Early-Career Builder,0.2625610548866777,Low
133,33,Male,Single,Finance,Finance Manager,High School,2025-06-10,0,Travel_Rarely,10,70299,0,2,2,3,3,Yes,4,2,No,Disengaged,0.4459128022502069,Medium
134,45,Male,Married,Finance,Finance Manager,Bachelor's,2021-06-07,4,Travel_Rarely,8,77597,0,2,4,4,3,No,3,3,No,Early-Career Builder,0.2197654351912577,Low
135,40,Male,Single,Marketing,Marketing Manager,Bachelor's,2023-06-10,2,Travel_Rarely,4,53989,2,2,3,4,2,No,4,2,No,High Performer / Flight Risk,0.4246761467971672,Medium
136,38,Male,Married,Operations,Operations Manager,Bachelor's,2021-06-12,4,Non-Travel,4,56292,3,1,3,4,3,No,2,6,No,Early-Career Builder,0.2957635144088379,Low
137,35,Male,Single,Marketing,Marketing Associate,High School,2017-03-04,8,Travel_Frequently,9,49231,0,0,3,1,4,No,3,1,No,Stable Core,0.1709595011423543,Low
138,40,Female,Single,Sales,Sales Executive,Bachelor's,2024-06-05,1,Travel_Rarely,8,33222,1,6,4,2,4,No,2,2,No,Early-Career Builder,0.3045466142963465,Medium
139,24,Female,Divorced,Human Resources,Recruiter,Bachelor's,2021-06-02,4,Non-Travel,9,71082,0,1,3,3,4,No,5,4,No,Early-Career Builder,0.1928300377804386,Low
140,35,Female,Divorced,Human Resources,HR Associate,Master's,2023-06-08,2,Travel_Rarely,1,39703,0,2,4,3,4,No,4,0,No,Early-Career Builder,0.3114587243574187,Medium
141,47,Female,Single,Sales,Account Manager,Bachelor's,2017-12-22,8,Travel_Rarely,1,82537,6,0,3,3,4,Yes,2,0,No,Stable Core,0.2156324931892616,Low
142,30,Male,Divorced,Sales,Sales Manager,Bachelor's,2024-11-14,1,Non-Travel,18,59983,0,2,3,1,2,No,3,3,Yes,High Performer / Flight Risk,,
143,48,Male,Married,Sales,Sales Executive,Bachelor's,2019-09-19,6,Travel_Frequently,17,52830,1,1,3,3,3,No,3,3,No,Early-Career Builder,0.232919691292923,Low
144,36,Female,Married,Operations,Operations Associate,Bachelor's,2023-10-18,2,Non-Travel,6,40253,0,1,2,2,2,No,3,3,No,High Performer / Flight Risk,0.5334364804476944,Medium
145,31,Female,Married,Finance,Finance Manager,Bachelor's,2020-01-19,5,Non-Travel,1,93625,4,1,1,4,4,No,4,1,No,Disengaged,0.4251266511501346,Medium
146,31,Male,Divorced,Operations,Operations Associate,Bachelor's,2014-02-09,11,Travel_Rarely,5,45669,1,4,4,2,1,Yes,3,4,Yes,High Performer / Flight Risk,,
147,27,Female,Married,Sales,Sales Executive,High School,2024-08-15,1,Non-Travel,1,43907,1,3,4,2,4,No,5,1,No,Early-Career Builder,0.2905385473241322,Low
148,35,Male,Married,Engineering,Software Engineer,Bachelor's,2024-10-31,1,Travel_Rarely,1,64906,1,3,3,3,3,No,3,2,No,Early-Career Builder,0.266847222002865,Low
149,41,Male,Single,Finance,Accountant,Bachelor's,2015-06-09,10,Non-Travel,9,78843,0,3,1,1,4,No,3,1,No,Stable Core,0.270363814905747,Low
150,45,Male,Single,Engineering,QA Engineer,Master's,2023-01-17,2,Non-Travel,1,121409,2,3,3,2,4,No,3,3,No,Stable Core,0.2651798396992183,Low
151,34,Male,Divorced,Sales,Account Manager,Master's,2025-05-20,0,Travel_Rarely,3,66604,0,0,4,4,2,No,3,2,No,High Performer / Flight Risk,0.3953091735909668,Medium
152,28,Male,Married,Sales,Sales Manager,Bachelor's,2018-09-17,7,Non-Travel,22,58570,0,0,3,3,2,No,3,4,No,High Performer / Flight Risk,0.3038792637690401,Medium
153,34,Male,Married,Engineering,QA Engineer,Bachelor's,2025-07-20,0,Non-Travel,3,94159,0,3,3,4,2,No,4,1,No,High Performer / Flight Risk,0.4461997220961321,Medium
154,28,Female,Single,Marketing,Marketing Manager,High School,2024-04-28,1,Non-Travel,7,53407,0,2,4,4,3,No,3,0,No,Early-Career Builder,0.4224887559738445,Medium
155,21,Male,Divorced,Engineering,Senior Engineer,High School,2025-02-12,0,Non-Travel,1,80639,0,2,3,4,2,No,4,0,No,High Performer / Flight Risk,0.2447851289082797,Low
